,word,link,sentence,synonyms,synset
4147,dysplasia,sign/dysplasia/8032/1,,[],
4148,dystopia,sign/dystopia/14662/1,What is an example of dystopia?,[],Synset('dystopia.n.02')
4149,e,sign/e/5824/1,My family grows watermelon in our garden.,[],Synset('vitamin_e.n.01')
4150,e,sign/e/5824/1,Apple's business plan is top secret.,[],Synset('vitamin_e.n.01')
4151,e,sign/e/5824/1,Kenny Walker is deaf and played football in the NFL for the Denver Broncos.,[],Synset('vitamin_e.n.01')
4152,e,sign/e/5824/1,My favorite kind of popcorn is kettle corn.,[],Synset('vitamin_e.n.01')
4153,e,sign/e/5824/1,I want spaghetti and a greek salad without olives.,[],Synset('vitamin_e.n.01')
4154,each,sign/each/9787/1,,[],
4155,each,sign/each/121/1,,"['PER (as in ""each"")']",
4156,each+minute,sign/each+minute/8834/1,,['EVERY MINUTE'],
4157,each+other,sign/each+other/3346/1,The dinner party was awkward because most of us did not know each other.,"['AMID', 'AMIDST', 'AMONG', 'ASSOCIATE', 'FELLOWSHIP (as in ""association"")', 'FRATERNIZE', 'HANGOUT', 'INTERACT', 'INTERFACE (as in ""a negotiation"")', 'MIDST', 'MINGLE', 'ONE ANOTHER', 'SOCIAL', 'SOCIALIZE']",
4158,each+second,sign/each+second/9398/1,,['EVERY SECOND'],
4159,eager,sign/eager/275/1,,"['AMBITIOUS', 'ARDENT (as in ""enthusiastic"")', 'EAGERLY', 'ENTHUSIASTIC', 'FERVENT', 'INTEREST (as in ""motivated"")', 'METHODIST', 'MOTIVATE', 'MOTIVATED', 'MOTIVATION', 'MOTIVATIONAL', 'ZEALOUS']",
4160,eagerly,sign/eagerly/3347/1,,"['AMBITIOUS', 'ARDENT (as in ""enthusiastic"")', 'EAGER', 'ENTHUSIASTIC', 'FERVENT', 'INTEREST (as in ""motivated"")', 'METHODIST', 'MOTIVATE', 'MOTIVATED', 'MOTIVATION', 'MOTIVATIONAL', 'ZEALOUS']",
4161,eagle,sign/eagle/1252/1,Yesterday I saw a bald eagle outside my window.,[],Synset('eagle.v.02')
4162,ear,sign/ear/1253/1,Dr. Charles Nicolle was born hearing but became deaf by the age of 20. He was the first deaf person to receive a Nobel Prize. It was for discovering that Typhus is spread by lice.,[],Synset('ear.n.05')
4163,ear,sign/ear/1253/1,"Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear. On her wedding day, rice went into her left ear and when the doctor tried to take it out, he punctured her eardrum. Then she was deaf in both ears. She founded the Girl Scouts when she was 51 years old because she wanted girls to have the same opportunities as boys.",[],Synset('ear.n.04')
4164,ear+hurt,sign/ear+hurt/13014/1,,"['EAR PAIN', 'EARACHE']",
4165,ear+muffs,sign/ear+muffs/10962/1,,[],
4166,ear+pain,sign/ear+pain/13013/1,,"['EAR HURT', 'EARACHE']",
4167,earache,sign/earache/13012/1,,"['EAR HURT', 'EAR PAIN']",
4168,early,sign/early/818/1,Our teacher requires me to be early to class.,[],Synset('early_on.r.01')
4169,early+morning,sign/early+morning/9635/1,,['MORNING'],
4170,earn,sign/earn/3348/1,My daughter earns good tips working as a waitress.,"['ACCUMULATE (as in ""to collect something"")', 'COLLECT (as in ""gather up"")', 'COLLECTION', 'DESERVE', 'GATHER (as in ""to collect"")', 'INCOME', 'MERIT', 'REVENUE', 'SALARY', 'WAGE', 'WORTHY (as in ""important"")']",Synset('gain.v.08')
4171,earnest,sign/earnest/9320/1,,"['DILIGENT', 'SERIOUS', 'SEVERE']",
4172,earning,sign/earning/12002/1,,"['ACCUMLATING', 'ACCUMULATE (as in ""to collect something"")', 'COLLECTING', 'COLLECTION', 'GATHERING']",
4173,earring,sign/earring/5561/1,,[],
4174,earrings,sign/earrings/10084/1,,['CLIP-ON EARRINGS'],
4175,earrings,sign/earrings/10083/1,,"['PIERCED EARRINGS', 'PIERCED EARS']",
4176,ears,sign/ears/8705/1,I got water in my ears when swimming.,['BOTH EARS'],Synset('ear.n.04')
4177,earth,sign/earth/1255/1,,"['EARTHLY', 'GEOGRAPHY', 'GLOBE', 'TERRESTRIAL (as in ""of earth"")']",
4178,earth+day,sign/earth+day/8479/1,My school celebrates Earth Day by planting trees.,[],
4179,earthly,sign/earthly/6265/1,,"['EARTH', 'GEOGRAPHY', 'GLOBE', 'TERRESTRIAL (as in ""of earth"")']",
4180,earthquake,sign/earthquake/7979/1,There was an earthquake today in California.,[],Synset('earthquake.n.02')
4181,easel,sign/easel/5666/1,,[],
4182,east,sign/east/1256/1,New York is in the east.,[],Synset('east.r.01')
4183,east,sign/east/1256/1,Rhode Island is in the east.,[],Synset('east.r.01')
4184,east+lansing,sign/east+lansing/8564/1,"The campus of Michigan State University is in East Lansing, Michigan.",[],
4185,east+timor,sign/east+timor/11728/1,,[],
4186,easter,sign/easter/1257/1,My family is going to grandma's house for Easter.,"['PASCHAL (as in ""easter"")']",Synset('easter.n.01')
4187,easter,sign/easter/1257/1,"Easter is Sunday, April 17.","['PASCHAL (as in ""easter"")']",Synset('easter.n.01')
4188,easter,sign/easter/1257/1,"I ate salad, corn on the cob, ham, and cookies at Easter.","['PASCHAL (as in ""easter"")']",Synset('easter.n.01')
4189,easy,sign/easy/122/1,"The weatherman in Florida has an easy job, the forecast is the same everyday ‑ sunny with possible rain.","['CONVENIENT', 'EASY PEASY', 'LENIENT', 'PIECE OF CAKE', 'SIMPLE (as in ""easy"")']",Synset('easy.s.05')
4190,easy+going,sign/easy+going/5900/1,,"['CAREFREE', 'CASUAL (as in ""laid back"")', 'GO WITH THE FLOW', 'GOOD NATURED', 'LAID BACK', 'LOAF (as in ""lazy"")', 'VEG (as in ""to relax"")']",
4191,easy+peasy,sign/easy+peasy/12757/1,"Most people think learning ASL is easy peasy, but no, it is challenging.","['NO BIG DEAL', 'NO PROBLEM', 'NOTHING', 'NOTHING TO IT', 'PETTY (as in ""as trivial or of little importance"")', 'PIECE OF CAKE', 'PUNY', 'TRIVIAL']",
4192,eat,sign/eat/151/1,I eat ice cream for dessert every night.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4193,eat,sign/eat/151/1,I love to make and eat chocolate chip cookies!,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4194,eat,sign/eat/151/1,I want to eat a chef salad.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4195,eat,sign/eat/151/1,I eat one apple a day.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4196,eat,sign/eat/151/1,I like bacon and eggs for breakfast.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4197,eat,sign/eat/151/1,I eat oatmeal for breakfast everyday.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4198,eat,sign/eat/151/1,The kids like to eat crackers and cheese.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4199,eat,sign/eat/151/1,I always eat hot dogs at baseball games.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4200,eat,sign/eat/151/1,I need to eat a variety of vegetables.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4201,eat,sign/eat/151/1,We ate at an Italian restaurant for my birthday celebration.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4202,eat,sign/eat/151/1,"I could eat pasta for breakfast, lunch and dinner.","['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4203,eat,sign/eat/151/1,I love eating pretzels dipped in chocolate.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4204,eat,sign/eat/151/1,I always eat Mexican food on Cinco De Mayo.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4205,eat,sign/eat/151/1,Growing up we ate lasagna every Friday night.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4206,eat,sign/eat/151/1,This year I took my boyfriend out to eat on Sweetest Day.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4207,eat,sign/eat/151/1,I eat macaroni and cheese with broccoli every week.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('consume.v.05')
4208,eat,sign/eat/151/1,I love apples. I eat one every day.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4209,eat,sign/eat/151/1,I feel like I'm between a rock and a hard place when I have to choose where to eat for Thanksgiving between my family's house or my husband's family's house.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4210,eat,sign/eat/151/1,Is it time to eat?,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4211,eat,sign/eat/151/1,I like to eat.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4212,eat,sign/eat/151/1,I love to eat.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4213,eat,sign/eat/151/1,I don't like to eat.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4214,eat,sign/eat/151/1,I hate to eat.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4215,eat,sign/eat/151/1,Do you like to eat?,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4216,eat,sign/eat/151/1,My best friend Susan likes to eat eggs.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4217,eat,sign/eat/151/1,Beth ate 2 pies.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4218,eat,sign/eat/151/1,Tim ate 14 cookies.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4219,eat,sign/eat/151/1,Max ate 7 oranges for breakfast.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4220,eat,sign/eat/151/1,Bob ate 6 bananas.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4221,eat,sign/eat/151/1,Sean ate 10 french fries.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4222,eat,sign/eat/151/1,Rosa ate 4 sandwiches for lunch.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4223,eat,sign/eat/151/1,Kay ate 9 apples.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4224,eat,sign/eat/151/1,Juan ate 5 hamburgers for dinner.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4225,eat,sign/eat/151/1,Marco ate 11 turkey sandwiches.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4226,eat,sign/eat/151/1,Tara ate 13 ears of corn on the cob for supper.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4227,eat,sign/eat/151/1,Jackie ate a salad for dinner.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4228,eat,sign/eat/151/1,"Jeff likes to eat deer, squirrels and rabbits.","['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4229,eat,sign/eat/151/1,"Dale likes to eat fish, chicken and pigs.","['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.01')
4230,eat,sign/eat/151/1,"I ate salad, corn on the cob, ham, and cookies at Easter.","['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4231,eat,sign/eat/151/1,My brother ate 6 hamburgers on July 4th.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4232,eat,sign/eat/151/1,I like to eat microwave popcorn for a snack.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4233,eat,sign/eat/151/1,I like to eat my donuts with coffee.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4234,eat,sign/eat/151/1,I try not to eat fast food.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4235,eat,sign/eat/151/1,I ate an egg with toast for breakfast.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('eat.v.02')
4236,eat,sign/eat/151/1,My brother ate 6 hamburgers on Independence Day.,"['DINE', 'FOOD', 'MEAL', 'REFRESHMENT (as in ""food and/or drink"")', 'SNACK', 'TREAT (as in ""a snack"")']",Synset('feed.v.06')
4237,eat,sign/eat/8227/1,,"['EAT A LOT', 'MUNCHIES']",
4238,eat+a+lot,sign/eat+a+lot/8936/1,,"['EAT (as in ""stuffing yourself"")', 'MUNCHIES']",
4239,eat+carefully,sign/eat+carefully/10097/1,,['DIET'],
4240,eat+crow,sign/eat+crow/12710/1,,"['EMBARRASS', 'EMBARRASSED', 'EMBARRASSMENT', 'GULP (as in ""embarrassed"")', 'HUMILIATED']",
4241,eat+healthy,sign/eat+healthy/10098/1,,['DIET'],
4242,eat+up,sign/eat+up/3349/1,,"['CONSUME', 'DEVOUR', 'GUZZLE (as in ""gas guzzler"")', 'INHALE (as in ""eat quickly"")', 'WOLFED IT DOWN']",
4243,eat+your+heart+out,sign/eat+your+heart+out/9913/1,,"['ENVY', 'JEALOUS']",
4244,eat+your+words,sign/eat+your+words/9946/1,,[],
4245,eavesdrop,sign/eavesdrop/11264/1,,"['BUTTINSKY', 'MEDDLESOME', 'NOSY', 'SNOOP', 'SNOOPY']",
4246,ebook,sign/ebook/14577/1,Does the library offer eBooks?,"['ELECTRONIC BOOK (as in ""digital book"")']",
4247,ebook,sign/ebook/14577/1,How can I check out an eBook?,"['ELECTRONIC BOOK (as in ""digital book"")']",
4248,ebook,sign/ebook/14577/1,How can I check out an eBook?,"['ELECTRONIC BOOK (as in ""digital book"")']",
4249,ecclesiastical,sign/ecclesiastical/6243/1,,"['CHAPEL', 'CHURCH', 'PARISH', 'SHRINE (as in ""holy place"")', 'TABERNACLE']",
4250,economize,sign/economize/5129/1,,"['HOARD (as in ""save"")', 'KEEP (as in ""as in preserve"")', 'PRESERVE', 'SAVE (as in ""to save something or keep secure"")', 'SAVINGS (as in ""a discount"")', 'STORE (as in ""save or economize"")']",
4251,economy,sign/economy/1258/1,,[],
4252,ecstatic,sign/ecstatic/9842/1,,"['HAPPY', 'VERY HAPPY']",
4253,ecuador,sign/ecuador/11694/1,,[],
4254,ed,sign/ed/14230/1,Ed is my best friend.,[],Synset('erectile_dysfunction.n.01')
4255,edit,sign/edit/6586/1,,[],
4256,editor,sign/editor/14488/1,The editor of my book is wonderful.,[],Synset('editor_program.n.01')
4257,edmonton,sign/edmonton/14615/1,There is a big mall in Edmonton.,[],Synset('edmonton.n.01')
4258,educate,sign/educate/3350/1,,"['EDUCATION', 'INDOCTRINATE', 'INDOCTRINATION', 'INSTRUCT', 'INSTRUCTION', 'TAUGHT', 'TEACH (as in ""educate"")', 'TEACHER', 'TEACHING']",
4259,education,sign/education/124/1,My boyfriend's favorite class is education.,"['EDUCATE', 'INDOCTRINATE', 'INDOCTRINATION', 'INSTRUCT', 'INSTRUCTION', 'TAUGHT', 'TEACH (as in ""educate"")', 'TEACHER', 'TEACHING']",Synset('education.n.01')
4260,educator,sign/educator/8550/1,,"['FACULTY', 'INSTRUCTOR', 'PROFESSOR', 'TEACHER']",
4261,ee,sign/ee/6354/1,,[],
4262,effect,sign/effect/3351/1,,"['AFFECT (as in ""to influence"")', 'INFLUENCE (as in ""influence something or someone"")', 'INFLUENCE HER', 'INFLUENCE HIM', 'INFLUENCE IT', 'INFLUENCE THEM', 'INFLUENCE YOU']",
4263,effeminate,sign/effeminate/6734/1,,"['FEMININE', 'FEMME', 'SISSY (as in ""effeminate or cowardly"")']",
4264,efficient,sign/efficient/3352/1,,"['ABILITY (as in ""skilled, proficient, or good at"")', 'ABLE (as in ""skilled or proficient"")', 'ADEPT', 'AGILE', 'CAPABLE (as in ""skilled or proficient"")', 'EXPERT', 'EXPERTISE', 'HANDY', 'PROFICIENT', 'QUALIFICATION', 'QUALIFIED', 'QUALIFY (as in ""to be skilled"")', 'SAVVY', 'SKILL', 'TALENT']",
4265,effort,sign/effort/3353/1,,"['ATTEMPT', 'STRIVE', 'TRIED', 'TRY (as in ""to put forth effort"")', 'TRYING']",
4266,egg,sign/egg/744/1,I ate an egg with toast for breakfast.,['HATCH'],Synset('testis.n.01')
4267,egg+yolk,sign/egg+yolk/13504/1,,[],
4268,eggnog,sign/eggnog/8996/1,,[],
4269,eggplant,sign/eggplant/9426/1,,[],
4270,eggs,sign/eggs/8523/1,I like bacon and eggs for breakfast.,[],Synset('testis.n.01')
4271,eggs,sign/eggs/8523/1,"I love bacon, eggs, and toast.",[],Synset('testis.n.01')
4272,eggs,sign/eggs/8523/1,My best friend Susan likes to eat eggs.,[],Synset('testis.n.01')
4273,eggs,sign/eggs/8523/1,Which do you like eggs or cheese?,[],Synset('testis.n.01')
4274,eggs,sign/eggs/8523/1,Eggs cost $4.73.,[],Synset('testis.n.01')
4275,eggs,sign/eggs/8523/1,10 EGGS ‑ 6 EGGS = 4 EGGS,[],Synset('testis.n.01')
4276,ego,sign/ego/7897/1,,"['ARROGANT', 'BIG HEADED', 'BIG SHOT', 'BRAT', 'CONCEITED', 'EGOTISTIC', 'NARCISSISM', 'NARCISSIST', 'NARCISSISTIC', 'NARCIST', 'SELF-CENTERED', 'TOO BIG FOR YOUR BRITCHES']",
4277,ego+boost,sign/ego+boost/11818/1,,[],
4278,ego+deflated,sign/ego+deflated/11833/1,,"['BELITTLE', 'DEFLATED (as in ""ego deflated"")', 'HEARTBREAK', 'HEARTBROKEN']",
4279,egotistic,sign/egotistic/1259/1,,"['NARCISSISM', 'NARCISSIST', 'NARCISSISTIC', 'NARCIST', 'SELF-CENTERED', 'VAIN']",
4280,egypt,sign/egypt/1260/1,,[],
4281,eid+al-fitr,sign/eid+al-fitr/14330/1,Eid al‑Fitr marks the end of fasting in Ramadan.,[],
4282,eight,sign/eight/3354/1,My favorite time to swim is 8 in the morning.,[],Synset('eight.s.01')
4283,eight,sign/eight/3354/1,I drink 8 glasses of water everyday.,[],Synset('eight.s.01')
4284,eight,sign/eight/3354/1,My neighbor has 8 children and 4 dogs.,[],Synset('eight.s.01')
4285,eight,sign/eight/3354/1,My student ID is 23689.,[],Synset('eight.s.01')
4286,eight,sign/eight/3354/1,Ali drank 8 glasses of water.,[],Synset('eight.s.01')
4287,eight,sign/eight/3354/1,I have 8 rabbits.,[],Synset('eight.s.01')
4288,eight,sign/eight/3354/1,I have eight t‑shirts.,[],Synset('eight.s.01')
4289,eight,sign/eight/14402/1,,"['EIGHT DOLLARS', 'EIGHTH (as in ""in a sequence"")']",
4290,eight+billion,sign/eight+billion/13635/1,Eight billion dollars is a lot of money.,[],
4291,eight+days,sign/eight+days/8866/1,I will go on an 8 day cruise next month.,[],
4292,eight+days+ago,sign/eight+days+ago/9441/1,,[],
4293,eight+dollars,sign/eight+dollars/8855/1,,"['EIGHT (as in ""the date"")', 'EIGHTH (as in ""in a sequence"")']",
4294,eight+hours,sign/eight+hours/8841/1,,[],
4295,eight+hundred,sign/eight+hundred/5882/1,,[],
4296,eight+hundred+thousand,sign/eight+hundred+thousand/14512/1,My dream home cost eight hundred thousand dollars.,[],
4297,eight+million,sign/eight+million/13627/1,Sam won eight million dollars on a game show.,[],
4298,eight+minutes,sign/eight+minutes/8832/1,,[],
4299,eight+months,sign/eight+months/8878/1,,[],
4300,eight+months+ago,sign/eight+months+ago/8908/1,I visited my aunt in Chicago eight months ago.,[],
4301,eight+ninths,sign/eight+ninths/14561/1,8/9 of the bikes are e bikes.,[],
4302,eight+oclock,sign/eight+oclock/12701/1,I will play tennis at 8 a.m.,[],
4303,eight+oclock,sign/eight+oclock/12701/1,The library is open 8 AM to 8 PM.,[],
4304,eight+oclock,sign/eight+oclock/12701/1,The library opens at 8 AM.,[],
4305,eight+oclock,sign/eight+oclock/12701/1,The library closes at 8 PM.,[],
4306,eight+tenths,sign/eight+tenths/14568/1,8/10 of the baseball team run fast.,[],
4307,eight+thousand,sign/eight+thousand/11451/1,My dining room table and chairs cost eight thousand dollars.,[],
4308,eight+weeks,sign/eight+weeks/8560/1,I will go to Chicago in 8 weeks.,[],
4309,eight+weeks+ago,sign/eight+weeks+ago/8814/1,My anniversary was 8 weeks ago.,[],
4310,eight+years,sign/eight+years/9413/1,,[],
4311,eight+years+old,sign/eight+years+old/8926/1,,[],
4312,eight-fifteen,sign/eight-fifteen/13145/1,We will eat at 8:15.,[],
4313,eight-forty-five,sign/eight-forty-five/13158/1,,[],
4314,eight-thirty,sign/eight-thirty/13101/1,The swimming race is at 8:30 am.,[],
4315,eighteen,sign/eighteen/649/1,"Mandy Harvey became deaf at the age of 18. Interestingly enough, she was a singer on the television show ""America's Got Talent.""",[],Synset('eighteen.s.01')
4316,eighteen,sign/eighteen/649/1,Troy has 10 lions. Erin has 18 ducks.,[],Synset('eighteen.s.01')
4317,eighteen,sign/eighteen/649/1,"President's Day is Thursday, February 18.",[],Synset('eighteen.s.01')
4318,eighteen,sign/eighteen/649/1,My cat weighs 18 pounds.,[],Synset('eighteen.s.01')
4319,eighth,sign/eighth/8854/1,,"['EIGHT (as in ""the date"")', 'EIGHT DOLLARS']",
4320,eighth,sign/eighth/14522/1,I am 1/8th Dutch.,"['ONE EIGHTH (as in ""the fraction, 1/8"")']",Synset('one-eighth.n.01')
4321,eighties,sign/eighties/13079/1,,[],
4322,eighty,sign/eighty/5873/1,,[],
4323,eighty+thousand,sign/eighty+thousand/14502/1,My new home cost eighty thousand dollars.,[],
4324,eighty-eight,sign/eighty-eight/7746/1,My grandma is 88 years old.,[],Synset('eighty-eight.s.01')
4325,eighty-five,sign/eighty-five/8643/1,Today the weather is a 85% chance of freezing rain.,[],Synset('eighty-five.s.01')
4326,eighty-four,sign/eighty-four/8642/1,Tomorrow in Hawaii will be sunny and 84 degrees.,[],Synset('eighty-four.s.01')
4327,eighty-nine,sign/eighty-nine/8646/1,,[],
4328,eighty-one,sign/eighty-one/8639/1,,[],
4329,eighty-seven,sign/eighty-seven/8645/1,Monday in New York will be 87 degrees with a hurricane.,[],Synset('eighty-seven.s.01')
4330,eighty-six,sign/eighty-six/8644/1,,[],
4331,eighty-three,sign/eighty-three/8641/1,Friday in Hawaii will be 82 degrees and rainy.,[],Synset('eighty-three.s.01')
4332,eighty-two,sign/eighty-two/8640/1,A good warm temperature is 82 degrees.,[],Synset('eighty-two.s.01')
4333,eighty-two,sign/eighty-two/8640/1,Today in Hawaii will be sunny and 82 degrees.,[],Synset('eighty-two.s.01')
4334,either,sign/either/3355/1,,"['WHETHER', 'WHICH', 'WHICH ONE']",
4335,eject,sign/eject/12103/1,,"['GET RID', 'IMPEACH (as in ""to be forced to leave office"")', 'PURGE', 'THROW OUT (as in ""get rid of"")', 'TOSS (as in ""toss out or get rid of"")']",
4336,el+salvador,sign/el+salvador/11707/1,,[],
4337,elaborate,sign/elaborate/1262/1,,"['DEFINE', 'DEFINITION', 'DESCRIBE', 'DIRECTION', 'EXPLAIN', 'EXPLANATION']",
4338,elastic,sign/elastic/2657/1,,['STRETCH'],
4339,elastic+bandage,sign/elastic+bandage/8040/1,,"['ACE BANDAGE', 'ACE WRAP', 'WRAP (as in ""a bandage"")']",
4340,elbow,sign/elbow/1263/1,,[],
4341,elbow,sign/elbow/11781/1,,"['JOSTLE (as in ""to elbow or bump into someone"")']",
4342,elder,sign/elder/7438/1,,[],
4343,eldest,sign/eldest/1960/1,,['OLDEST'],
4344,eleanor,sign/eleanor/10590/1,Eleanor is my best friend.,[],
4345,elect,sign/elect/3357/1,,"['APPOINT', 'CHOOSE (as in ""to appoint or elect"")', 'SELECT', 'SELECTION']",
4346,election,sign/election/7874/1,"You lost the school election, get over it.",['VOTE'],Synset('election.n.04')
4347,election+day,sign/election+day/8490/1,On Election Day many schools close.,[],
4348,election+day,sign/election+day/8490/1,"Election Day is Tuesday, November 4th.",[],
